obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
1,"
								拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)",Legende Bordeaux Red,"
												90%
										",1329,近期售出数 426239,60,"
											红葡萄酒 干红","
											40%赤霞珠(Cabernet Sauvignon)、60%梅洛(merlot)","
											0000","
											法国(France) 波尔多(Bordeaux)","
											波尔多法定产区 A.O.C","
											12-13.5%(不同年份不同批次，度数不同)","
											750ml","
											浆果味和甘草味","
											深红宝石色","
											中","
											平衡","
											30分钟","
											红肉类食物","
											9个月",5186561
2,"
								赵薇斯奈哈克城堡干红葡萄酒2010",Chateau Senailhac 2010,"
												90%
										",128,近期售出数 49652,165,"
											红葡萄酒 干红","
											60%梅洛，35%赤霞珠，5%马尔贝克",  ,"
											其他 其他",  ,"
											14%","
											750 ml","
											成熟草莓，白胡椒，甘草","
											红宝石","
											中","
											饱满","
											伯恩女性葡萄酒竞赛金奖","
											红肉，烤类白肉",  ,6215843
3,"
								恋曲甜起泡葡萄酒",M Cavatina Premium Moscato,"
												90%
										",111,近期售出数 28659,98,"
											起泡酒 甜起泡酒","
											100%麝香葡萄(Moscato)",  ,"
											意大利(Italy) 其他","
											NV","
											7.0%","
											750ML","
											花香、蜂蜜、金银花","
											稻草黄","
											中","
											清雅","
											即开即饮","
											海鲜、甜点","
											无",5197970
4,"
								奥希耶徽纹红葡萄酒（又名奥希耶微纹红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）",Blason D Aussieres Lafite DBR,"
												100%
										",44,近期售出数 14964,89,"
											红葡萄酒 干红","
											西拉/设拉子(Syrah/Shiraz),歌海娜(Grenache/Granacha),慕尔怀特(Mourvedre),佳丽酿(Carignan)","
											2010","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											AOC","
											14.0%","
											750ml","
											具有香料和芬芳植物的典型复杂气味。","
											宝石红色","
											中高","
											饱满","
											30分钟","
											烤肉、牛排","
											9个月",5197538
5,"
								美景湾赤霞珠红葡萄酒",Rio Bueno Cabernet Sauvignon,"
												80%
										",283,近期售出数 47244,59,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											成熟水果香气","
											宝石红色","
											中高","
											圆润","
											30分钟","
											禽肉类、烧烤、牛排以及奶酪",  ,12684
6,"
								拉菲华诗歌赤霞珠红葡萄酒（又名：巴斯克干红葡萄酒）（拉菲集团出品）",Los Vascos Cabernet Sauvignon Domaines Barons de Rothschild,"
												90%
										",136,近期售出数 30413,65,"
											红葡萄酒 干红","
											卡本妮苏维翁(Cabernet Sauvignon)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.0%","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											60分钟","
											红肉类食物","
											无",5145971
7,"
								干露红魔鬼梅洛红葡萄酒",Casillero del Diablo Merlot,"
												80%
										",175,近期售出数 13062,49,"
											红葡萄酒 干红","
											100%梅洛(merlot)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											13.5%","
											750ml","
											具黑色李子、香烟及草本植物的香味","
											深红色","
											中高","
											圆润","
											30分钟","
											适宜与鸡肉、火腿、清淡奶酪、意大利调味饭及意大利面食配蘑菇酱一起食用","
											8-12个月",5150840
8,"
								旭日之吻干红葡萄酒 6支装",  ,"
												100%
										",52,近期售出数 624,119,"
																红葡萄酒 干红","
																100%丹魄（Tempranillo)",  ,"
																西班牙(Spain) 其他","
																VDLT","
																11%vol","
																750ml","
																黑醋栗，樱桃，香草","
																宝石色，泛紫红色","
																中高","
																圆润","
																15-20分钟","
																奶酪、肉类","
																无",6231010
9,"
								美景湾珍藏佳美娜红葡萄酒",Rio Bueno Reserve Carmenere,"
												80%
										",232,近期售出数 10663,69,"
											红葡萄酒 干红","
											100%佳美娜(Carmenere)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.0%","
											750ml","
											李子、青椒、巧克力和一丝烟草香味","
											深紫红色","
											中高","
											饱满","
											30分钟","
											禽肉类、烧烤、牛排以及奶酪","
											8个月",12687
10,"
								旭日之吻干红葡萄酒",DATO DEL VINO,"
												70%
										",2,近期售出数 5989,39,"
											红葡萄酒 干红","
											100%丹魄（Tempranillo)",  ,"
											西班牙(Spain) 其他","
											VDLT","
											11%vol","
											750ml","
											黑醋栗，樱桃，香草","
											宝石色，泛紫红色","
											中高","
											圆润","
											15-20分钟","
											奶酪、肉类","
											无",6230948
