"年份","序号","地区","支出合计","基本建设","企业挖潜改造资金","地质勘探费","科技三项费用","流动资金","农业支出","林业支出","农林水利气象等部门事业费","工业交通部门事业费","流通部门事业费","文体广播事业费","教育事业费","科学事业费","卫生经费","其他部门的事业费","抚恤和社会福利救济费","行政事业单位离退休经费","社会保障补助支出","国防支出","行政管理费","外交外事支出","武装警察部队支出","公检法司支出","城市维护费","政策性补贴支出","支援不发达地区支出","海域开发建设和场地使用费支出","车辆税费支出","债务利息支出","专项支出","其他支出"
2005,1,"地方合计","251543091","26757770","8693287","927540","2873706","10653","8673075","4730652","3045016","3099048","428683","6308710","37299753","1401120","10155520","11662495","7110549","10659759","15809341","279337","24192313","123543","410708","17640557","12606413","4070345","1887617","29776","1524608","298146","5788732","23044319"
2005,2,"北京","10583114","844269","443307","12900","96094",NA,"276401","86443","63576","73253","2588","250827","1458723","157439","656229","409578","320515","538247","250954","3041","691634","1597","2296","843905","527159","46158",NA,NA,"7161",NA,"325194","2193626"
2005,3,"天津","4421207","732323","291198","14637","108550",NA,"87498","12578","28427","19120","254","107471","672034","27989","189803","107850","87061","11609","372050","2631","259918","6260","2708","318590","520168","30072","50","3166","4637","2000","90989","309566"
2005,4,"河北","9791635","735846","211320","26123","74044",NA,"322693","217046","92937","156451","16204","252154","1705374","35192","450870","639754","283309","470734","725068","11700","974398","8429","4937","688198","460698","210332","61418","2231","45332","234","263773","644836"
2005,5,"山西","6687508","505365","16551","22577","43607","896","228410","165376","67897","99872","11866","176686","1020914","20905","281735","317121","196674","363628","560873","8877","691631","1456","7227","399587","288666","93004","57348","225","48679","473","548733","440649"
2005,6,"内蒙古","6818772","1106816","291274","35164","43463",NA,"242095","402720","75403","72843","7373","148984","786645","19037","208768","371663","147111","401923","324628","5679","714427","2358","17528","318539","378206","158001","67105","49","79250","12053","190406","189261"
2005,7,"辽宁","12043636","1268402","377461","34620","233698",NA,"434798","140428","129528","235629","18609","217638","1421954","46142","343526","580493","449995","533460","1650379","20848","919584","18811","13588","755499","793637","259728","43531","5679","29801","108941","264696","692533"
2005,8,"吉林","6311212","504908","217276","45643","45681",NA,"213980","169801","42224","80881","16128","148802","741472","27113","207022","298027","231563","361541","1048895","7640","451254","3241","15468","358850","206841","482906","35905","85","21323","45459","80774","200509"
2005,9,"黑龙江","7877854","603916","322273","20735","83400",NA,"295465","247210","69143","105351","41300","171198","1065721","33565","280124","434990","238472","227118","1098148","5816","695575","2673","19722","477651","323133","435750","46490","210","58246",NA,"219016","255443"
2005,10,"上海","16462550","3692060","2370026","1646","29114",NA,"246078","16569","88560","73701","1928","264465","1829415","159199","521464","633179","248436","69060","720825","4996","689946","10410",NA,"880928","864610","14229",NA,NA,"2657",NA,"298953","2730096"
2005,11,"江苏","16733965","1537082","633343","27978","271295",NA,"662191","40973","272520","192629","11723","429236","2582399","79492","750563","737656","431081","502468","637112","19687","1821131","6762","25848","1302032","1565236","142100","14312","591","46139","11584","436149","1542653"
2005,12,"浙江","12655345","924118","572882","30829","340822",NA,"578958","88438","194086","242202","14374","374539","2315489","105657","648767","878414","309056","89046","289424","13113","1419044","8049","30681","1157530","764081","63683","45030","449","18190",NA,"374712","763682"
2005,13,"安徽","7130633","641160","232987","47007","37659",NA,"289279","112115","75099","85704","10309","166755","1174312","25687","250223","221585","255928","422244","484508","7222","737823","4957","6407","429256","217674","306798","57490","92","32105","1807","156451","639990"
2005,14,"福建","5930663","489241","217375","14443","83179","268","203307","47881","80618","110708","11545","193357","1115121","46787","259305","315885","171429","361597","102766","17354","493542","1791","19473","455897","166059","63207","42714","2667","19878","12443","104792","706034"
2005,15,"江西","5639525","417475","162393","66392","25103",NA,"268330","118979","69504","97737","16572","144340","879253","22053","218381","325369","251831","200756","393028","6111","509527","1065","6973","405794","280059","116081","58894","75","60918",NA,"86726","429806"
2005,16,"山东","14662271","704835","573010","27743","194199","3129","641754","90511","163582","168799","22258","449415","2487484","76471","544085","706013","406910","646793","587856","12614","1629489","4639","14300","1021718","1179667","201713","21612","6210","39116","3830","452000","1580516"
2005,17,"河南","11160412","1083689","293900","27797","92275",NA,"353795","151824","135794","97770","17882","368004","1873208","42928","418057","544269","353006","647891","679660","7540","1209591","1396",NA,"697993","366284","326166","92653","132","76491","25829","293993","880595"
2005,18,"湖北","7787159","452024","124474","15787","79312","2934","322293","159185","93080","105162","30603","191783","1188461","25760","311597","289669","341746","281259","711377","5465","947952","1767","26600","657104","266545","159085","59211","643","67595","3445","103073","762168"
2005,19,"湖南","8734181","749789","168894","58816","81570",NA,"402771","226576","89791","125274","29893","219200","1230010","26129","244520","444684","317127","450120","839972","13346","872580","3070","16312","561809","384270","140534","75300","186","89190","5334","176591","690523"
2005,20,"广东","22890691","2644339","265978","34768","526901","2181","451444","143189","523179","205998","54763","508356","3292088","160063","823633","1221592","417445","1051043","393745","25971","2225707","6826","70775","2313302","1061969","137951","141351","4469","7730","834","461588","3711513"
2005,21,"广西","6114806","699528","143801","31900","36362",NA,"231545","150800","92498","51795","7499","177727","1052608","40725","259931","348461","160274","242239","309193","11756","614387","8929","9122","461043","237157","54736","93234","1140","67691","5047","93922","419756"
2005,22,"海南","1512421","174881","4969","3724","7497",NA,"57985","27698","37268","8399","1223","34663","242088","5402","65191","87570","48268","62623","117149","4851","149745","1731","6219","102942","55480","11385","25504","803","9234","579","17558","139792"
2005,23,"重庆","4873543","733446","97882","7192","48959",NA,"130318","149771","30816","30032","3916","104379","606598","10855","151757","112232","172664","316635","431288","5316","516304","616","14548","332896","375711","63957","45145",NA,"66936","2404","100104","210866"
2005,24,"四川","10821769","1142259","240878","57059","71804","1245","416192","426012","108429","181229","22260","281067","1405260","48974","495641","354632","377908","593177","804604","18631","1353259","3627","24080","742809","310157","159060","123912","82","107179","38767","181799","729777"
2005,25,"贵州","5207261","412285","50171","39356","33615",NA,"245928","212683","74244","70315","13263","180923","933707","30452","258160","184890","152226","36304","253478","5173","651549","1483","4420","358349","129292","34223","131371","58","103984","7513","78803","519043"
2005,26,"云南","7663115","878316","141045","26928","57536",NA,"336445","270602","127945","103670","17354","205342","1222810","44405","448073","313012","202968","626054","290334","17433","781218","3680","24068","517079","269366","52194","166080","110","76350","661","106804","335233"
2005,27,"西藏","1854502","563995","3292","15829","4437",NA,"59904","23658","12812","42847","525","37946","203794","2800","71090","7123","26916","20474","48352","423","279559","675","2502","81914","4329","18997","42145",NA,"76788",NA,"4041","197335"
2005,28,"陕西","6389627","580587","96165","49248","43788",NA,"217540","322987","79430","133808","20243","169811","993134","24048","217038","325534","195293","255028","765679","4679","624333","1345","6096","345306","244267","92081","86645","37","84866","286","67485","342840"
2005,29,"甘肃","4293479","452723","45308","52082","23136",NA,"136613","233924","54014","40955","3064","128598","674831","19916","178431","153022","115760","236013","475215","1358","425038","2372","3571","204504","112309","52429","101781","91","63353","1260","74145","227663"
2005,30,"青海","1697547","265122","13711","15851","8249",NA,"62651","71648","14966","18768","388","35564","203132","4810","88611","52633","50659","161040","136332","1890","156724","1025","3607","81170","19197","12486","43667","86","56772","7363","20244","89181"
2005,31,"宁夏","1602509","384608","33440","13393","12658",NA,"65865","93249","16574","19490","1639","36337","195197","7513","54008","53523","35847","68903","70364","1679","106901","1226","3437","80944","59852","16485","37181","60","13036",NA,"24108","94992"
2005,32,"新疆","5190179","832363","36703","49373","35699",NA,"190549","109778","41072","48656","1137","133143","726517","23612","258917","192072","113071","410732","236085","6497","578543","1277","8195","287419","174334","114814","70538","150","43981",NA,"91110","373842"
