"年份","序号","地区","一般预算支出","一般公共服务","外交","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生","环境保护","城乡社区事务","农林水事务","交通运输","工业商业金融等事务","其他支出"
2007,1,"地方合计","383392909","63540730","14957","725878","28783267","67270585","8584403","7714251","51045296","19557472","9612377","32384917","30910061","11331270","28150369","23767076"
2007,2,"北京","16495023","1795578",NA,"24756","1337950","2630041","907420","536194","1792806","1189527","295827","1874300","1025106","330894","1026015","1728609"
2007,3,"天津","6743262","723190",NA,"10148","538765","1100248","223384","159616","795714","330964","59143","1557246","267950","84864","529733","362297"
2007,4,"河北","15066482","2694348",NA,"26426","1089217","2833938","174050","207547","2201343","781096","437978","993755","1119743","329879","992304","1184858"
2007,5,"山西","10499228","2100764",NA,"18051","706119","1812182","157971","268075","1828223","520956","449696","625721","845355","281527","575616","308972"
2007,6,"内蒙古","10823054","1940317","120","13560","608509","1535674","92228","277115","1520235","438658","617283","1219317","1085176","484945","713039","276878"
2007,7,"辽宁","17642805","2711576",NA,"58909","1267721","2521317","386889","247967","4029808","666000","307290","1717831","1218008","269157","1475558","764774"
2007,8,"吉林","8837597","1416557",NA,"13421","610183","1444160","110870","223293","1543673","423106","304523","461155","800709","234909","1135059","115979"
2007,9,"黑龙江","11872711","1679521","420","25354","799519","1997524","174743","203474","2170582","575415","443402","691666","1060181","425630","1391845","233435"
2007,10,"上海","21816780","1826135",NA,"10120","1343324","2833335","1057666","434059","2742171","888313","200373","3667605","626016","162324","2894758","3130581"
2007,11,"江苏","25537217","4382727",NA,"41712","2107297","4928972","687266","481582","2125341","1152882","483065","3112204","1936328","791508","1825375","1480958"
2007,12,"浙江","18067928","3289148",NA,"42929","1737917","3838886","715442","493408","1079848","1122822","313847","1546345","1421494","450743","1309967","705132"
2007,13,"安徽","12438342","1959490",NA,"23101","725247","2129665","159551","262580","2064435","654132","376495","899646","1035161","495045","1156590","497204"
2007,14,"福建","9106446","1619087",NA,"32004","765591","1836550","212670","182941","905712","519887","97019","615597","614904","266274","595855","842355"
2007,15,"江西","9050582","1466833",NA,"17387","651465","1738076","87373","157990","1261449","580717","138809","515325","1035666","309884","707028","382580"
2007,16,"山东","22618495","4218172",NA,"36336","1562148","4533574","464073","441092","2517774","996496","339445","2669508","1630130","270004","1921213","1018530"
2007,17,"河南","18706135","3557104",NA,"13169","1196850","3661231","252287","333802","2812238","987788","609191","1112654","1525128","402964","1369050","872679"
2007,18,"湖北","12773257","2212679",NA,"10513","1094211","2171988","187641","249202","2112158","661139","280528","562170","1275744","302094","823578","829612"
2007,19,"湖南","13570310","2565944","750","34655","963061","2285201","204932","201513","2209838","591970","298387","901604","1259175","487198","940559","625523"
2007,20,"广东","31595703","5233886","1389","64852","3407721","5758977","1192631","530343","2834795","1407693","267100","2404053","1725289","571183","1292684","4903107"
2007,21,"广西","9859433","1933693","82","34323","824496","1893837","131873","214101","1106700","507547","141009","586447","898179","412666","712422","462058"
2007,22,"海南","2451967","451484","720","7335","188237","403268","27904","45660","358840","124560","53236","126756","229619","91013","138544","204791"
2007,23,"重庆","7683886","1113710",NA,"16008","537942","1215466","110513","105811","1389682","339705","386191","910845","559657","360848","506585","130923"
2007,24,"四川","17591304","3213725",NA,"39827","1250331","2928602","207763","285886","2721240","988711","711630","1087799","1756535","730704","1248021","420530"
2007,25,"贵州","7953990","1489521","200","17458","572217","1662714","99809","157071","708014","487893","272324","274209","875347","488381","446480","402352"
2007,26,"云南","11352175","1870110","4895","30449","846056","1905371","130596","198391","1704801","771123","313816","455513","1275982","616402","630032","598638"
2007,27,"西藏","2753682","609361","557","12319","177586","335699","19260","72304","173020","171623","47651","69174","403061","324333","109049","228685"
2007,28,"陕西","10539665","1907448",NA,"18327","641665","1845157","132972","217303","1590145","499056","487457","584991","1000870","487998","638793","487483"
2007,29,"甘肃","6753372","1111147","990","8109","380012","1239653","73129","152349","1068675","410319","336010","276638","847431","280512","382185","186213"
2007,30,"青海","2821993","579441","8<U+00A0>","3147","159854","348523","25239","69447","511790","195046","189848","96861","292656","159886","123553","66694"
2007,31,"宁夏","2418545","383921",NA,"3136","147180","473068","47857","70629","254973","114174","127629","174252","279206","84780","160234","97506"
2007,32,"新疆","7951540","1484113","4826","18037","544876","1427688","128401","233506","909273","458154","226175","593730","984255","342721","378645","217140"
