"年份","序号","地区","一般预算支出","一般公共服务","外交","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生","环境保护","城乡社区事务","农林水事务","交通运输","工业商业金融等事务地震灾后重建支出","其他支出"
2008,1,"地方合计","492484949","74513722","15660","798074","34111312","85185771","10518648","9551314","64600065","27102580","13851511","41918141","42356334","14407954","409247117358667","25270485"
2008,2,"北京","19592857","1962664",NA,"22100","1604616","3162957","1121886","611138","2093285","1450513","354688","1998383","1217736","803461","1160451112461",NA
2008,3,"天津","8677245","959055",NA,"5631","658481","1416985","286530","180120","1057164","419156","109789","1850121","385397","141560","76103372885",NA
2008,4,"河北","18816696","3176185",NA,"25845","1367819","3769819","216674","290023","2713726","1202379","763556","1324967","1518977","289207","14855756835",NA
2008,5,"山西","13150175","2234833",NA,"23019","907536","2349868","176381","271892","2183811","714959","642863","1011763","1096934","336037","90150710000",NA
2008,6,"内蒙古","14545732","2433914","354","15909","764478","2064017","153634","316243","1915179","598205","796815","1704399","1607177","493087","1253567428754",NA
2008,7,"辽宁","21534348","3076503",NA,"53771","1475833","3063600","490226","299409","4699675","839012","481798","2172211","1492933","372513","2212826804038",NA
2008,8,"吉林","11801223","1742481",NA,"13860","719504","1880346","134116","282109","1998556","595176","456067","853743","1073357","292976","15987263939",NA
2008,9,"黑龙江","15423004","2404474","975","27653","924983","2566199","200885","239638","2286253","716984","485105","985375","1481514","523281","22241085155",NA
2008,10,"上海","25939161","1987807",NA,"9267","1495741","3260628","1202743","495223","3349669","1222840","250758","4686252","789711","170818","3598601180000",NA
2008,11,"江苏","32474927","5168601",NA,"53224","2528845","5926032","915173","667446","2315241","1486116","951795","3617904","2761599","1172120","2886538118443",NA
2008,12,"浙江","22085756","3724556","13","50048","1996246","4539902","867928","637593","1415223","1428690","465183","1939499","1774175","594234","1720324126185",NA
2008,13,"安徽","16471253","2341531",NA,"20027","868949","2862557","237788","327465","2282005","1038442","547367","1478746","1367525","518196","186285720381",NA
2008,14,"福建","11377159","1891974",NA,"31468","915985","2332923","256281","224251","1092914","742741","140264","750936","804268","456079","88016549229",NA
2008,15,"江西","12100730","1806669",NA,"21587","752927","2068578","111406","187795","1793603","769195","318377","707820","1470156","376031","121851720000",NA
2008,16,"山东","27046613","4682351",NA,"40459","1732612","5509929","571333","552178","2850525","1404184","586002","2894598","2353000","300454","254362333665",NA
2008,17,"河南","22816093","4065896",NA,"19280","1391862","4440264","304389","414616","3302343","1454726","758510","1353822","2095859","431727","2005786777013",NA
2008,18,"湖北","16502763","2658031",NA,"10653","1256486","2841940","230584","252487","2813003","950838","409194","852202","1767006","383069","125473323352",NA
2008,19,"湖南","17652249","3010646","590","40501","1127951","3112601","265893","253462","3103120","875987","417066","1200158","1763754","569575","1360830550115",NA
2008,20,"广东","37785681","6290231","149","77696","3932064","7033269","1325155","667154","3628345","2011467","470878","2832940","1926025","1058404","195777873924",NA
2008,21,"广西","12971100","2245366",NA,"31057","956563","2512210","162149","292467","1289769","787683","279740","723033","1393970","584781","1066574645738",NA
2008,22,"海南","3579708","533225","4615","8474","242533","556331","44981","68176","494349","186377","68058","225139","554118","114304","2428975017",NA
2008,23,"重庆","10160112","1390183",NA,"44804","614354","1534951","151279","165439","1722665","516362","529297","1246138","767242","479259","7174079759",NA
2008,24,"四川","29488269","3637823",NA,"48842","1531436","3692812","258150","345730","4489554","1435606","791451","1364752","2426093","1053586","19529225601003",NA
2008,25,"贵州","10537922","1842076",NA,"15824","680706","2297665","129878","178360","1074568","674375","404391","465094","1217107","493768","588991475119",NA
2008,26,"云南","14702388","2171232","3436","33738","1065126","2419508","176695","279819","2247201","1045872","584582","675136","1777748","608413","9119487326",NA
2008,27,"西藏","3806589","640632","330","4755","301530","470800","29033","92134","279000","163548","57068","259956","628701","351034","184207343861",NA
2008,28,"陕西","14285208","2261364",NA,"13243","763920","2649055","171448","318074","2455574","783906","587158","867798","1462918","542268","917143207117",NA
2008,29,"甘肃","9684336","1271358","910","9642","452703","1829256","94743","194465","1536984","583150","468469","447835","1073358","347976","463132671941",NA
2008,30,"青海","3635950","694155",NA,"5178","203753","488084","39664","98912","655673","246615","195484","204838","424407","110455","18197450",NA
2008,31,"宁夏","3246064","423470",NA,"3319","192769","540553","43265","70925","370490","171073","175067","333778","451996","100795","220537148027",NA
2008,32,"新疆","10593638","1784436","4288","17200","683001","1992132","148358","276571","1090598","586403","304671","888805","1431573","338486","589434457682",NA
