"年份","序号","地区","一般预算支出","一般公共服务","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生","环境保护","城乡社区事务","农林水事务","交通运输","采掘电力信息等事务","粮油物资储备等管理事务","金融监管支出","地震灾后恢复重建支出","国债还本付息支出","其他支出"
2009,1,"地方合计","61044.14","8080.00","126.09","3898.30","9869.92","1310.70","1238.32","7851.85","3930.69","1896.13","5103.76","6401.71","3578.37","2370.89","1437.19","133.15","1043.85","170.58","2602.65"
2009,2,"北京","2319.37","212.21","5.29","161.38","365.67","126.31","74.75","234.29","166.63","54.05","347.82","142.01","147.07","110.31","19.58","2.44","18.10",NA,"131.48"
2009,3,"天津","1124.28","110.59","1.02","73.49","173.61","34.00","19.81","115.90","54.22","13.36","261.07","63.69","49.44","70.09","11.44","3.55","6.83",NA,"62.19"
2009,4,"河北","2347.59","346.49","4.51","151.20","439.33","26.43","38.02","317.42","174.68","104.20","149.57","264.78","161.06","46.05","47.38","1.26","0.13","0.41","74.67"
2009,5,"山西","1561.70","247.94","2.70","98.44","278.07","17.61","27.97","236.94","101.73","70.61","85.31","198.47","93.68","28.55","22.15","12.99","6.40","1.25","30.90"
2009,6,"内蒙古","1926.84","295.22","3.26","96.90","243.48","18.07","47.33","274.97","102.94","97.90","210.03","222.36","132.90","58.79","72.29","4.42",NA,"1.87","44.11"
2009,7,"辽宁","2682.39","329.16","7.49","154.16","346.73","57.49","76.25","518.07","163.32","55.71","289.66","240.71","106.60","142.16","53.23","4.84","0.15","11.26","125.40"
2009,8,"吉林","1479.21","182.67","3.08","98.19","216.99","18.98","29.36","250.44","107.34","49.48","82.58","204.45","57.66","49.46","63.14","3.54","3.32","35.57","22.96"
2009,9,"黑龙江","1877.74","229.31","3.47","109.11","266.61","19.96","33.46","339.64","135.50","59.07","104.17","192.42","103.78","74.82","146.89","7.68",NA,"0.09","51.77"
2009,10,"上海","2989.65","206.68","6.06","163.41","346.95","215.31","53.12","336.08","132.85","33.96","602.36","107.45","81.84","294.47","39.86","22.82","21.66","1.84","322.92"
2009,11,"江苏","4017.36","568.48","11.19","284.75","680.63","117.02","77.18","299.17","198.21","147.60","474.93","403.27","230.87","221.75","88.87","14.17","24.76","2.00","172.53"
2009,12,"浙江","2653.35","397.69","5.48","216.98","519.33","99.30","64.09","153.08","177.05","55.42","224.61","236.08","246.36","105.18","55.09","2.04","17.80","0.15","77.59"
2009,13,"安徽","2141.92","267.50","2.97","105.32","323.79","36.47","42.14","303.96","165.74","59.27","165.85","259.21","142.73","99.71","57.23","1.04","11.50","7.07","90.42"
2009,14,"福建","1411.82","203.82","3.26","99.47","277.55","27.89","25.77","132.85","93.39","33.83","78.44","120.89","127.62","43.98","49.84","0.21","3.13","0.24","89.63"
2009,15,"江西","1562.37","193.42","3.25","86.22","251.93","13.40","22.93","219.34","120.55","43.14","79.71","203.41","112.96","79.65","62.13","0.52","4.00","2.05","63.78"
2009,16,"山东","3267.67","490.14","8.42","197.37","613.49","62.88","70.40","342.79","189.24","76.17","311.93","369.35","174.25","135.07","82.53","0.87","25.11","14.99","102.66"
2009,17,"河南","2905.76","459.01","2.56","167.14","526.14","35.52","58.67","403.62","223.15","92.98","130.89","361.60","177.62","74.77","80.89","6.69","6.07","7.94","90.52"
2009,18,"湖北","2090.92","308.40","1.71","137.57","317.29","25.33","36.03","343.98","139.24","74.15","112.34","254.92","84.92","74.27","56.30","2.00","6.95","2.27","113.25"
2009,19,"湖南","2210.44","336.07","6.67","125.28","357.58","29.62","33.08","360.75","159.20","73.63","144.05","276.29","117.24","75.94","52.13","1.38",NA,"3.12","58.43"
