"年份","序号","地区","公共财政预算支出","一般公共服务","外交","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生","节能环保","城乡社区事务","农林水事务","交通运输","资源勘探电力信息等事务","商业服务业等事务","金融监管等事务支出","地震灾后恢复重建支出","援助其他地区支出","国土资源气象等事务","住房保障支出","粮油物资储备事务","国债还本付息支出","其他支出"
2012,1,"地方合计","107188.34","11702.14","1.44","210.54","5928.13","20140.64","2242.20","2074.79","11999.85","7170.82","2899.81","9060.92","11471.39","7332.57","3934.53","1351.71","249.69","103.81","126.56","1367.59","4068.71","731.09","575.33","2444.07"
2012,2,"北京","3685.31","286.57",NA,"7.87","236.87","628.65","199.94","141.37","424.31","256.06","113.54","430.76","222.69","243.76","165.32","38.29","3.00","0.31","14.99","16.01","44.79","5.73","4.24","200.23"
2012,3,"天津","2143.21","136.55",NA,"1.60","111.92","378.75","76.45","35.85","201.17","105.91","38.49","590.26","100.98","87.21","106.68","29.21","2.81",NA,"4.83","20.07","9.58","5.11",NA,"99.77"
2012,4,"河北","4079.44","481.97",NA,"10.48","227.17","865.54","44.74","59.29","470.21","323.17","127.93","283.51","443.62","287.04","89.71","49.48","4.89",NA,"3.41","63.91","135.81","26.81","10.12","70.64"
2012,5,"山西","2759.46","274.47",NA,"4.64","143.79","558.03","33.32","60.20","354.61","180.34","88.17","160.45","309.63","194.82","47.78","23.67","5.15",NA,"2.16","183.43","85.65","20.67","4.10","24.38"
2012,6,"内蒙古","3425.99","341.83","0.10","6.19","173.36","439.97","27.61","87.21","435.47","177.91","131.59","363.24","450.83","301.24","88.86","29.95","3.25",NA,"3.11","73.25","164.83","75.72","13.92","36.55"
2012,7,"辽宁","4558.59","485.71",NA,"13.75","228.80","728.79","101.24","79.25","727.71","200.19","93.27","595.19","405.02","256.10","263.33","44.99","7.62","0.01","2.21","60.33","120.90","36.80","24.03","83.34"
2012,8,"吉林","2471.20","249.38",NA,"5.38","135.67","451.05","24.96","47.48","304.00","160.36","113.85","166.29","291.30","128.16","74.31","23.38","4.62",NA,"1.71","23.78","145.19","55.16","55.22","9.95"
2012,9,"黑龙江","3171.52","271.26","0.04","5.00","168.40","544.79","37.64","47.27","458.20","173.33","104.86","205.60","430.39","226.51","94.68","28.43","2.61",NA,NA,"32.19","218.78","65.81","5.36","50.36"
2012,10,"上海","4184.02","251.47",NA,"6.88","221.08","648.95","245.43","72.51","443.01","197.34","55.18","627.44","217.97","115.41","401.92","60.51","17.05",NA,"25.62","13.58","112.71","14.02","8.97","426.95"
2012,11,"江苏","7027.67","820.43",NA,"17.58","407.78","1350.61","257.24","150.90","557.77","418.14","193.83","858.13","754.09","436.58","283.18","124.87","22.98",NA,"14.66","50.57","133.94","27.65","6.85","139.90"
2012,12,"浙江","4161.88","503.61",NA,"7.67","319.03","877.86","165.98","94.18","345.44","305.91","77.70","307.82","408.20","287.64","161.65","84.63","9.87",NA,"10.89","28.32","65.25","12.26","4.01","83.98"
2012,13,"安徽","3961.01","425.96",NA,"6.01","149.15","717.94","96.00","71.43","459.19","319.39","95.52","348.03","430.47","237.17","131.46","71.53","4.04",NA,"2.74","45.40","248.58","32.98","15.97","52.06"
2012,14,"福建","2607.50","293.15",NA,"5.51","162.39","562.30","48.47","46.07","205.28","185.99","48.60","178.86","244.16","272.08","106.58","55.38","2.98",NA,"0.09","25.73","52.85","14.01","5.14","91.86"
2012,15,"江西","3019.22","308.16",NA,"5.40","141.71","622.06","27.50","44.77","323.06","219.15","66.91","176.70","384.77","192.78","196.03","38.22","6.92",NA,NA,"30.36","134.43","18.95","11.85","69.48"
