"年份","序号","地区","地方公共财政支出","一般公共服务","外交","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生与计划生育","节能环保","城乡社区事务","农林水事务","交通运输","资源勘探电力信息等事务","商业服务业等事务","金融监管等事务支出","地震灾后恢复重建支出","援助其他地区支出","国土资源气象等事务","住房保障支出","粮油物资储备事务","国债还本付息支出","其他支出"
2013,1,"地方合计","119740.34","12753.67","1.39","233.25","6489.75","20895.11","2715.31","2339.94","13849.72","8203.20","3334.89","11146.51","12822.64","8625.83","4445.38","1336.55","212.97","42.79","158.54","1638.91","4075.82","744.28","740.80","2933.09"
2013,2,"北京","4173.66","297.12",NA,"9.06","255.82","681.18","234.67","154.71","469.13","276.13","138.17","510.67","297.62","231.79","183.32","41.81","3.54",NA,"15.62","32.33","48.48","5.68","5.27","281.55"
2013,3,"天津","2549.21","144.73",NA,"1.62","126.18","461.36","92.81","44.53","229.28","128.94","48.44","723.03","123.03","90.02","136.80","29.40","3.02",NA,"5.95","21.12","14.99","5.47",NA,"118.50"
2013,4,"河北","4409.58","524.14",NA,"10.86","243.05","837.63","49.76","72.71","528.62","380.75","171.86","321.28","511.11","286.57","106.85","43.21","7.84",NA,"3.60","72.45","135.01","26.42","14.41","61.45"
2013,5,"山西","3030.13","284.13",NA,"5.58","156.09","542.44","62.06","66.69","419.02","201.63","98.16","186.08","339.69","180.54","59.33","26.52","9.35",NA,"2.19","244.21","95.63","19.53","5.26","26.00"
2013,6,"内蒙古","3686.52","338.10","0.05","5.26","175.77","456.87","31.64","88.05","491.01","196.03","132.11","480.22","466.58","295.23","109.31","27.07","2.44",NA,"1.64","81.67","169.54","74.95","17.94","45.06"
2013,7,"辽宁","5197.42","501.34",NA,"11.99","244.57","669.48","118.99","95.34","824.03","229.50","108.59","807.26","466.52","302.51","304.28","57.48","4.82",NA,"1.86","87.31","152.46","33.73","29.03","146.33"
2013,8,"吉林","2744.81","267.31",NA,"6.08","147.77","422.09","37.22","56.55","360.19","181.51","126.83","214.22","318.26","170.05","101.01","24.45","10.47",NA,"2.22","29.79","139.14","49.87","57.40","22.38"
2013,9,"黑龙江","3369.18","278.80","0.03","5.58","173.35","501.28","38.61","52.37","542.33","190.50","115.75","301.07","461.70","244.20","95.03","22.54","1.67",NA,"2.41","45.60","180.98","66.75","8.42","40.23"
2013,10,"上海","4528.61","260.10",NA,"6.62","226.51","679.54","257.66","89.17","468.01","214.92","56.43","712.92","187.25","144.46","426.07","66.51","15.09",NA,"27.55","18.46","105.24","16.05","12.06","537.99"
2013,11,"江苏","7798.47","859.41",NA,"22.54","452.99","1434.99","302.59","173.54","631.15","475.86","229.18","1006.80","868.34","448.58","345.89","118.00","16.50",NA,"22.74","55.08","169.32","30.44","18.98","115.56"
2013,12,"浙江","4730.47","538.88",NA,"8.53","347.78","950.07","191.87","106.00","397.06","350.73","98.14","332.93","513.03","372.51","180.05","89.48","12.14",NA,"15.85","36.59","81.59","13.64","4.82","88.78"
2013,13,"安徽","4349.69","469.15",NA,"4.80","163.78","736.59","109.67","79.50","533.64","361.80","108.42","459.80","478.17","276.01","145.63","60.11","3.63",NA,"4.15","41.24","225.77","34.20","16.58","37.07"
2013,14,"福建","3068.80","327.06",NA,"7.61","189.44","574.91","60.62","57.88","240.66","224.23","58.60","259.78","312.22","279.31","164.21","64.63","2.78",NA,"0.93","39.40","51.67","14.81","12.23","125.83"
2013,15,"江西","3470.30","337.01",NA,"5.95","162.92","664.53","46.32","52.62","378.84","262.14","74.17","201.21","438.54","206.93","211.52","34.46","6.71",NA,"2.05","29.55","200.02","20.97","21.60","112.27"
2013,16,"山东","6688.80","749.96",NA,"15.26","341.83","1399.67","149.14","127.53","681.98","485.86","212.81","618.50","748.14","371.15","245.54","88.87","12.93",NA,"8.21","132.47","126.54","38.29","47.96","86.15"
2013,17,"河南","5582.31","733.21",NA,"6.51","261.22","1171.52","80.00","80.78","731.41","492.48","111.92","309.12","629.85","346.19","101.95","39.74","28.72",NA,"1.49","53.88","191.11","43.72","84.76","82.73"
2013,18,"湖北","4371.65","546.49",NA,"4.12","227.04","690.63","77.21","72.44","605.70","322.08","109.72","320.36","465.34","308.82","227.90","47.81","13.76",NA,"4.57","51.77","123.11","39.04","19.06","94.67"
2013,19,"湖南","4690.89","628.45",NA,"14.70","231.08","809.45","55.46","68.95","625.94","342.47","128.67","388.27","516.55","336.96","150.80","55.87","2.35",NA,"0.01","67.82","174.58","30.50","19.01","42.98"
2013,20,"广东","8411.00","996.45",NA,"17.83","650.31","1744.59","344.94","141.68","746.97","569.32","307.78","664.77","595.28","688.04","156.80","80.68","16.43",NA,"26.78","67.72","206.39","29.77","50.24","308.71"
2013,21,"广西","3208.67","413.20",NA,"7.92","178.81","609.93","54.36","49.85","348.12","285.61","64.23","212.33","371.90","238.99","100.59","28.74","7.04",NA,"0.03","42.52","108.87","17.11","16.77","51.77"
2013,22,"海南","1011.17","115.40","0.67","4.18","65.10","174.57","13.83","21.90","115.88","69.59","23.18","61.51","139.03","73.82","20.71","9.54","1.39",NA,NA,"11.69","36.30","2.85","4.58","45.47"
2013,23,"重庆","3062.28","276.40","0.21","8.75","141.22","437.28","38.65","34.94","431.89","198.05","114.55","536.08","281.94","253.96","113.01","34.93","9.88","0.00","5.51","36.14","77.22","17.29","5.86","8.53"
2013,24,"四川","6220.91","610.86",NA,"15.67","323.49","1036.41","69.51","142.40","833.51","487.20","159.95","381.81","741.78","528.80","231.89","64.23","6.51","29.58","2.98","85.32","223.54","36.65","60.38","148.46"
2013,25,"贵州","3082.66","488.78",NA,"4.74","168.22","560.67","34.27","48.68","264.52","228.71","66.44","109.46","400.31","299.79","75.80","22.49","0.48",NA,NA,"28.76","190.45","9.28","13.60","67.22"
2013,26,"云南","4096.51","394.77","0.04","7.12","214.22","685.97","42.59","61.35","505.45","300.57","105.29","174.51","538.97","547.47","67.73","36.13","2.98","0.30","0.02","66.52","206.98","10.38","77.78","49.36"
2013,27,"西藏","1014.31","180.53","0.17","2.50","71.65","107.18","4.17","22.51","72.94","40.29","17.21","56.48","148.79","93.15","75.43","8.31","1.10","10.97",NA,"8.86","51.94","2.56","0.36","37.21"
2013,28,"陕西","3665.07","414.29",NA,"3.35","156.89","710.11","38.02","100.44","497.75","257.14","109.77","259.42","419.62","265.35","109.56","38.06","5.48",NA,"0.06","44.19","167.59","17.40","20.89","29.69"
2013,29,"甘肃","2309.62","278.60",NA,"1.95","102.12","377.06","19.76","59.76","346.77","165.86","69.82","73.19","346.58","207.94","38.62","17.62","0.16","2.37",NA,"41.91","102.82","9.89","15.31","31.52"
2013,30,"青海","1228.05","97.50",NA,"0.92","46.79","121.51","8.39","25.84","162.01","68.64","66.78","86.62","159.69","197.95","48.28","12.16","1.82","0.03","0.03","20.45","62.75","4.38","27.27","8.24"
2013,31,"宁夏","922.48","64.15",NA,"1.07","46.50","112.95","10.69","16.60","102.77","53.77","32.93","133.79","149.38","54.52","27.65","16.23","1.07",NA,NA,"12.11","55.62","2.91","17.86","9.91"
2013,32,"新疆","3067.12","337.37","0.21","4.60","197.22","532.67","39.85","74.63","263.17","160.91","68.99","243.05","387.42","284.22","83.84","29.46","0.87","0.02","0.09","32.01","200.19","19.79","35.10","71.47"
