"年份","序号","地区","地方一般公共预算支出","一般公共服务支出","外交支出","国防支出","公共安全支出","教育支出","科学技术支出","文化体育与传媒支出","社会保障和就业支出","医疗卫生与计划生育支出","节能环保支出","城乡社区支出","农林水支出","交通运输支出","资源勘探信息等支出","商业服务业等支出","金融支出","援助其他地区支出","国土海洋气象等支出","住房保障支出","粮油物资储备支出","国债还本付息支出","其他支出"
2014,1,"地方合计","129215.49","12217.07","1.45","234.40","6879.47","21788.09","2877.79","2468.48","15268.94","10086.56","3470.90","12942.31","13634.16","9669.26","4634.73","1319.78","258.70","216.50","1722.56","4638.31","77839","983.10","3124.54"
2014,2,"北京","4524.67","272.23",NA,"8.49","279.78","742.05","282.71","163.90","509.01","322.29","213.36","567.40","343.67","214.55","158.59","39.90","4.09","18.03","31.82","66.96","5.64","8.49","271.72"
2014,3,"天津","2884.70","158.08",NA,"1.16","139.31","517.01","109.00","47.87","259.56","161.33","57.93","823.70","134.91","94.95","183.10","26.24","2.93","6.61","25.24","15.57","5.60",NA,"114.61"
2014,4,"河北","4677.30","476.59",NA,"12.38","248.29","868.87","51.32","82.66","585.62","446.79","193.43","367.83","583.52","310.23","104.13","29.06","1.98","6.04","66.32","126.86","28.60","28.54","58.24"
2014,5,"山西","3085.28","237.94",NA,"5.44","160.80","507.28","54.26","63.95","450.72","243.94","95.26","219.05","327.85","170.35","49.60","13.95","2.91","2.37","319.71","93.38","19.07","9.30","38.13"
2014,6,"内蒙古","3879.98","297.55","0.02","4.77","180.45","477.77","32.87","91.90","531.76","227.78","142.75","540.30","517.69","292.72","92.09","27.96","3.21","0.78","89.19","157.61","76.23","21.72","72.84"
2014,7,"辽宁","5080.49","436.29",NA,"11.97","235.67","604.49","108.82","92.60","895.91","273.61","106.10","849.50","443.85","310.89","225.32","59.34","3.89","11.45","72.92","174.33","33.21","41.35","88.98"
2014,8,"吉林","2913.25","253.50",NA,"5.18","154.63","407.10","36.45","61.16","390.20","206.44","140.30","273.29","308.68","229.11","99.58","28.30","18.62","2.59","29.77","137.30","55.28","60.12","15.66"
2014,9,"黑龙江","3434.22","256.20",NA,"4.88","170.77","505.94","39.46","45.63","602.68","235.31","111.57","332.11","487.67","236.97","91.34","21.45","1.15","2.75","32.81","147.19","71.64","13.10","23.62"
2014,10,"上海","4923.44","248.84",NA,"6.57","250.91","695.63","262.29","86.38","498.13","264.75","77.32","801.29","202.34","157.20","468.20","79.10","15.20","29.29","16.43","119.30","15.41","11.45","617.42"
