"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p2_9","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8","V1_p3_9","V1_p3_10","V1_p3_11"
2000,"地方合计",104542771,11679727,4980676,441429,1206701,215600,2293766,929886,3671046,900214,178517,2665966,16241384,777783,4823944,4775360,2108210,4352977,5529445,90447,9366543,88249,132513,7139953,4677936,3958598,1229521,10201,2078419,7997760
2000,"北京",4429969,574884,327083,4349,38441,6627,98712,24164,39582,20127,2187,92628,600709,62070,285305,175772,111436,181622,44755,780,209237,1141,NA,335916,237058,91891,257,NA,102053,761183
2000,"天津",1870521,297084,161112,2534,36933,NA,22066,7930,16478,6975,251,46354,308729,13301,86869,45880,28386,7425,174027,785,89182,1886,751,122307,158954,52219,164,1841,36937,143161
2000,"河北",4155374,305316,165326,18554,47416,NA,70714,36847,106508,62908,7212,107250,736530,20793,174629,314599,106812,204414,225350,3239,373495,4783,3188,331025,135634,214895,48091,915,107607,221324
2000,"山西",2250554,161358,43291,18577,22579,19058,57393,23782,73472,18930,3005,64985,381627,10807,104507,102755,51541,140649,182633,2310,271913,753,1784,153021,70142,92108,34267,21,49096,94190
2000,"内蒙古",2472681,343664,92525,25346,18456,77,55171,27614,152357,14557,4941,66084,297521,12018,91072,144599,40656,152047,146199,1809,242583,838,2713,145405,73168,186028,43733,NA,30755,60745
2000,"辽宁",5180841,529498,263831,17538,96968,NA,137441,43126,102491,40697,9494,101047,659091,32621,171323,295883,145394,226971,735991,8515,309706,15102,2564,322457,310144,247882,16533,384,107105,231044
2000,"吉林",2606694,212105,97099,17266,26234,3310,26416,23233,139530,27089,11094,60911,358104,17547,93788,130120,49705,177174,192626,2602,180167,3205,6863,158410,81416,393940,18896,51,35483,62310
2000,"黑龙江",3818736,271794,135381,15719,42156,2000,66112,41407,280119,40174,13640,85710,489795,27297,136114,217637,58615,47216,484787,3891,259248,2098,6855,219457,162005,444204,31884,NA,108624,124797
2000,"上海",6085621,1326644,753121,1194,13515,150000,81937,28396,42525,32763,1113,116716,841031,73169,325811,155832,72495,59543,64537,2111,226210,7414,NA,343093,231487,86070,NA,NA,111958,936936
2000,"江苏",5912810,457956,523863,10526,79241,1935,167076,65470,146388,37825,4636,170500,1174225,46259,325667,203468,135494,205180,116273,3702,557050,6225,7371,403569,470433,122953,5619,735,153417,309754
2000,"浙江",4312958,280042,263372,9425,91987,NA,106999,52368,159929,63785,4050,136936,781943,39404,272422,263612,80094,35101,57559,3015,439777,3070,7465,350119,335422,60205,16322,93,145878,252564
2000,"安徽",3234728,410893,137764,20709,21049,NA,65691,40684,99562,22626,3549,79151,539913,13907,117124,116467,79268,181575,192444,3704,347527,3498,2632,189001,105081,155154,53346,43,44881,187485
2000,"福建",3241839,291301,110869,9268,51227,952,90951,28217,99551,35932,8090,100475,619670,31231,161411,148725,59513,158782,69452,6656,270645,1973,9364,213027,102382,122127,35268,117,56138,348525
2000,"江西",2234722,277294,71371,24985,10025,NA,46747,30841,70232,21970,6501,54808,381436,11859,103154,100364,45784,83767,162072,1332,210217,622,2546,153539,74438,119808,29692,66,29393,109859
2000,"山东",6130774,295068,395370,11872,92459,683,127960,72394,211560,45107,7305,175745,1181042,38543,282598,288353,155043,248829,160953,3840,622058,3900,3908,379550,388802,188804,11686,3213,181155,552974
2000,"河南",4455295,327994,163141,20310,39708,3814,76312,45373,140367,35940,5190,114886,773334,23362,172990,208574,101567,259003,270557,1485,478380,820,NA,315271,159194,310106,63486,774,89136,254221
2000,"湖北",3687701,282037,73745,14817,39921,11388,74360,31535,112524,39536,10357,98803,576580,15419,190881,138291,88514,132295,285541,1820,369245,1131,2434,233733,125192,135968,41868,378,60217,499171
2000,"湖南",3478324,380819,86561,23230,37969,NA,67576,32433,121524,30763,9375,90316,508830,17541,118790,158395,73506,200466,281159,3367,327797,1084,3791,256110,149062,127822,46802,246,63254,259736
2000,"广东",10803189,1533503,292549,12874,214706,3398,268853,40043,333980,47350,12219,263304,1447466,109580,477313,550512,143037,429525,197211,8122,1009542,6656,27060,944016,534781,181131,25363,280,202870,1485945
2000,"广西",2584866,252679,71491,11910,15229,NA,83874,27562,86498,16167,2502,81826,447127,21344,116401,174081,39947,95354,77596,4027,282021,5627,5409,215983,81372,70576,72148,113,59205,166797
2000,"海南",641193,78697,3224,2106,1615,NA,17061,7549,22809,4044,822,16514,96278,3826,28021,52246,14433,32042,32649,828,64798,1182,1314,46157,23056,14418,12291,30,7312,55871
