"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p2_9","V1_p2_10","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8"
2003,"地方合计",172298463,19065287,6342499,813625,1903799,13984,5740503,1956940,2295271,1714485,292702,4346507,26971435,1098015,7559834,8866225,4936860,8056373,11177192,225773,16577202,98712,242441,12305865,7618222,3797871,1559906,23868,86826,3096970,13513271
2003,"北京",7348043,719875,458741,9140,63736,NA,178125,46295,37401,41309,2429,164145,988222,107629,496358,315935,228318,339052,128102,3354,390900,1335,7,562899,361534,44901,NA,400,NA,238454,1419447
2003,"天津",3120771,524274,293732,11241,78023,NA,55028,7194,18141,16272,220,71864,475804,19403,153135,81941,59350,11029,275049,1815,175505,4404,1486,208891,276061,31147,39,1738,NA,55272,212713
2003,"河北",6467439,415300,99938,20805,54058,NA,190704,56367,58528,106779,10785,170256,1190712,26922,348275,481874,190083,355094,560816,8983,670410,6789,3076,478509,212357,216263,51674,1870,43,147568,332601
2003,"山西",4156866,368678,68039,17523,29874,2399,154706,63263,43964,45436,7153,114282,674140,15867,203272,198278,132787,262100,468907,7532,454411,1089,3776,258890,117745,92200,55251,12,782,85525,208985
2003,"内蒙古",4472566,781312,147553,36051,30112,NA,159636,148624,47227,38046,5970,105711,543525,16572,170878,258935,109468,302696,244960,5603,456517,1037,10524,229631,185405,198437,66952,43,8213,45247,117681
2003,"辽宁",7843764,680144,156750,40867,162423,NA,281979,70974,84706,88672,16125,144850,983397,37469,251624,416685,307939,384032,1276451,17261,622468,15725,9368,521892,480929,259170,32410,2215,1153,154099,341987
2003,"吉林",4092265,318364,104058,32987,30797,NA,116888,67086,33628,57391,13379,105212,536908,20429,161382,229029,160270,287777,495632,5581,312315,3588,8441,252775,118799,415377,30787,677,19783,49094,103831
2003,"黑龙江",5649080,387665,127258,22600,57873,NA,206589,184849,53342,83421,23912,141932,810979,35049,230611,383160,188269,169275,620253,8035,489551,2726,13997,379659,250618,446546,34312,NA,13,NA,141288
2003,"上海",10884386,2447362,1545172,1614,15383,NA,138058,49758,49585,39850,1533,169554,1313724,113439,364420,391940,155024,61114,331291,2681,447886,8130,NA,644892,447399,10092,NA,NA,NA,199818,1934667
2003,"江苏",10476812,759687,511946,22230,135056,NA,415909,29157,214275,99016,10326,256666,1790766,55235,555684,536722,265957,363917,339492,10342,1071724,5383,12219,851484,926665,142070,8358,1044,15442,209398,860642
2003,"浙江",8967740,633046,489049,27185,195284,NA,402093,49748,146709,165706,11293,276526,1642075,71680,453797,664839,180694,73186,220311,9163,952162,6958,15306,781618,596096,51750,33121,673,1000,225035,591637
2003,"安徽",5074398,474481,148824,35359,27109,NA,169118,34848,122420,34324,5677,118748,845575,18204,170815,178608,208102,322677,491158,7250,512911,3372,3901,304227,141734,216787,48315,252,1027,69203,359372
2003,"福建",4523010,374593,143434,13097,58128,315,172527,38754,60077,70220,11364,137180,929670,42527,207211,250683,96399,273823,84712,10497,366675,1933,14026,351761,128797,68662,29845,1002,2312,77689,505097
2003,"江西",3820981,338935,68589,56914,17248,NA,154592,41412,38953,50577,9799,92796,644665,18547,150613,220192,134785,141237,414471,2064,359542,623,4594,277990,129612,111274,50103,NA,60,NA,45097
2003,"山东",10106395,636760,462915,21837,140670,2684,425229,68101,124786,89036,14466,307350,1791484,58375,396107,523771,281244,444158,345457,10982,1123337,3971,6728,666962,685165,194468,13790,4279,NA,259129,1003154
2003,"河南",7165978,502569,166891,25856,57218,NA,210074,53144,97693,59539,8146,238910,1311582,30337,301893,398718,241193,506498,536876,7383,831015,669,NA,482008,220220,277590,70896,304,3013,124616,401127
2003,"湖北",5404356,307235,123936,21727,61746,4323,175539,43405,64675,45475,16048,139234,890687,21776,242474,331140,251717,239215,485471,10856,570864,972,4475,371613,178897,154425,46019,373,2369,80879,516791
2003,"湖南",5737453,513964,101835,53731,49090,NA,226221,65871,70006,58892,18599,155101,900570,22267,168303,332605,218603,339042,478624,9982,591494,1651,6563,395958,234149,140698,62699,98,3645,89750,427442
2003,"广东",16956324,2408689,220378,30684,364417,3095,416297,114954,428841,117926,39310,381087,2652474,152589,735442,908202,304539,837492,370069,20588,1754697,6057,53898,1696994,634956,124757,91898,2341,275,305155,1778223
2003,"广西",4436023,399988,126696,28202,28805,682,167211,62568,69446,30280,4066,135794,790977,35027,210155,325073,112174,193680,220779,10794,463286,6858,5856,365876,187385,53162,83635,917,2552,56899,257200
2003,"海南",1053984,134463,1917,3171,5881,NA,38686,16011,15454,5291,1211,23079,147959,3887,46470,69272,31048,51076,87269,2238,105078,1402,3801,67134,35434,13867,21282,665,53,11574,109311
2003,"重庆",3415775,640685,72583,6609,27969,NA,91157,57025,21642,10871,3229,74597,429462,8666,108218,73557,128237,240926,339682,4841,368357,670,10409,235683,198820,53581,39372,NA,905,47287,120735
2003,"四川",7322993,750182,232608,41255,61228,486,268650,134181,82962,62928,15786,177801,1089036,38508,314235,242844,254623,465885,535911,16409,945994,2960,13371,521760,241893,154624,103376,260,16878,95074,441285
2003,"贵州",3323547,316396,54909,31141,23103,NA,145073,57591,44006,41009,8215,115871,601258,19641,172994,131443,88755,27572,197285,4685,433298,1351,2547,237561,85189,29988,106567,72,2484,48255,295288
2003,"云南",5873475,705029,176823,27641,45658,NA,257792,144157,87938,64409,16884,138045,931733,42628,327463,274399,172517,452154,423004,11972,554288,2870,16789,385311,181702,42685,142495,118,NA,59086,187885
2003,"西藏",1459054,594347,2233,14544,3603,NA,40011,12770,9806,30864,484,35893,130664,2545,52805,13980,21094,17490,36360,710,200566,430,2509,63372,5020,18151,29242,NA,NA,4620,114941
2003,"陕西",4182008,462523,93786,46292,28706,NA,141922,83160,65651,80227,11951,121122,663304,17968,167206,254390,155448,202954,413506,4306,469146,1367,2248,252287,152771,53043,68647,46,231,51779,116021
