"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19","V1_p1_20","V1_p1_21","V1_p1_22","V1_p1_23","V1_p1_24","V1_p1_25","V1_p1_26","V1_p1_27","V1_p1_28","V1_p1_29","V1_p1_30","V1_p1_31","V1_p1_32"
2006,"地方合计",304313277,29068577,9515068,1038708,3608616,9346,10686465,5492981,3492331,3959261,501949,7582603,44851837,1674690,12959969,13501415,9020710,12208017,18826993,320386,28947597,136124,526459,20755269,15374481,8373047,2159214,55881,2113280,360352,8473589,28718062
2006,"北京",12968389,993036,516313,13994,112209,NA,411092,129011,69011,94307,2831,310411,1751755,193238,870575,482759,382210,590651,374205,2943,839533,3172,2626,1015621,759902,77333,NA,586,NA,5950,NA,351724
2006,"天津",5431219,832874,346945,16862,149692,NA,111385,12118,37282,25362,296,135239,815828,33063,237784,120826,109808,12286,515659,3115,319670,6263,3905,389768,668999,46433,4550,10709,NA,1005,9000,104697
2006,"河北",11803590,689620,193756,35817,88627,NA,373173,220479,112672,178105,19678,288068,1895526,39768,502031,677001,353444,553083,828572,11645,1129634,9223,5888,778060,576929,525182,64394,9081,NA,79380,605,413531
2006,"山西",9155698,547333,16511,25223,55715,651,275830,186381,79532,123334,15505,215506,1208708,24942,354622,346967,243473,426034,680089,8930,826868,1827,9730,494477,337371,143663,58825,20,88363,192,1893109,465967
2006,"内蒙古",8121330,1253030,240095,16811,45414,NA,296661,493934,86112,85474,6255,185601,950332,21354,282462,446523,198760,492834,401224,6700,821707,3699,21253,395100,545077,235350,73359,50,NA,45833,7959,195482
2006,"辽宁",14227471,1372691,384943,37903,291249,NA,486949,141349,128944,205116,22445,261475,1668888,53972,437296,679320,515158,620144,2024175,24390,1095417,17894,15546,914260,941709,365017,54218,4297,NA,40812,146927,298215
2006,"吉林",7183588,590955,107318,49891,56101,NA,277006,217391,49172,103120,22227,180830,912752,32480,269189,350324,292802,423857,818202,6484,567059,3555,21118,431382,295594,583563,45758,59,NA,80977,36428,96566
2006,"黑龙江",9685255,555760,345387,19478,86529,NA,366294,360440,81197,143477,38591,215968,1337055,38465,363780,486682,402902,257340,1349257,19494,865111,2678,26384,585064,362839,589142,53065,150,NA,153540,6075,246910
2006,"上海",17955660,3955840,2502021,2057,42634,NA,282709,32418,102352,80987,2216,288995,2054600,202682,614972,717225,271621,93483,1006739,5847,807473,11117,NA,1001909,1047647,36660,NA,NA,NA,3056,NA,316171
2006,"江苏",20132502,1818912,717206,34818,392960,NA,832939,68648,323395,294151,14232,491323,2982252,106015,895249,771372,485623,545418,838542,18306,2318910,6778,36207,1578049,1739125,451891,20582,814,NA,34536,8617,560113
