"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19","V1_p1_20","V1_p1_21","V1_p1_22","V1_p1_23"
2011,"地方合计",92733.68,10084.77,2.75,198.29,5267.26,15498.28,1885.88,1704.64,10606.92,6358.19,2566.79,7608.93,9520.99,7166.69,3547.26,1394.79,235.34,174.45,1289.74,3491.87,729.49,564.12,2836.25
2011,"北京",3245.23,261.38,NA,6.59,218.68,520.08,183.07,87.01,354.88,225.49,94.51,339.27,187.34,199.12,170.35,NA,41.06,NA,2.09,NA,0.39,NA,9.88
2011,"天津",1796.33,117.81,NA,1.01,100.41,302.32,60.17,29.76,168.34,90.53,32.24,485.42,91.78,97.37,75.86,NA,20.55,NA,1.92,NA,NA,NA,25.31
2011,"河北",3537.39,414.93,NA,11.55,200.98,652.11,33.22,50.45,426.23,302.75,105.48,239.37,366.1,261.36,82.86,NA,54.17,NA,2.08,NA,NA,NA,73.68
2011,"山西",2363.85,251.58,NA,4.41,130.31,421.79,27.17,48.17,321.6,159.62,82.18,142.33,241.45,178.93,44.84,NA,22.99,NA,8.57,NA,0.01,NA,134.76
2011,"内蒙古",2989.21,304.53,0.06,4.46,145.88,390.69,28.21,68.78,363.97,164.59,117.55,301.4,391.68,281.48,71.04,NA,25.82,NA,4.3,NA,NA,NA,70.25
2011,"辽宁",3905.85,415.23,NA,11.43,210.29,544.09,87.2,68.6,657.36,182.07,74.2,442.58,329.2,220.53,229.09,NA,56.39,NA,13.32,NA,0.05,NA,74.04
2011,"吉林",2201.74,231.4,NA,4.48,118.81,319.82,21.18,44.25,298.99,143.87,102.42,154.17,255.57,149.79,73.82,NA,22.46,NA,7.12,NA,0.6,NA,24.97
2011,"黑龙江",2794.08,256.37,0.09,5.13,141.22,373.83,33.23,44.94,392.05,170.78,92.27,179.71,355.98,249.88,108.67,28.72,2.56,0.05,34.41,183.17,69,3.14,68.89
2011,"上海",3914.88,236.11,NA,7.61,206.11,549.24,218.5,68.8,417.5,190.03,51.62,579.29,161.54,137.04,379.53,NA,51.13,NA,13.81,NA,NA,NA,11.86
2011,"江苏",6221.72,748.45,NA,18.46,371.4,1093.22,213.4,116.86,481.65,349.86,170.37,812.06,618.13,391.69,294.39,NA,128.56,NA,27.45,NA,1.59,NA,48.16
2011,"浙江",3842.59,471.55,NA,7.54,290.87,751.42,143.9,85.09,291.82,278.98,78.11,338.43,373.32,273.99,137.81,NA,96.97,NA,5.78,NA,2.8,NA,30.43
2011,"安徽",3302.99,345.34,NA,5.57,128.58,564.71,77.03,62.35,392.98,277.23,81.96,280.76,351.87,219.59,125.4,NA,65.63,NA,8.06,NA,NA,NA,40.87
2011,"福建",2198.18,247.47,NA,4.76,144.74,406.73,40.48,35.86,184.92,159.3,37.95,146.24,207.89,240.05,95.71,NA,49.63,NA,1.58,NA,NA,NA,25.25
2011,"江西",2534.6,258,NA,5.03,123.9,474.43,21.32,39.66,272.75,196.32,43.76,125.34,287.99,218.05,157.36,NA,38.16,NA,2.06,NA,NA,NA,28.51
2011,"山东",5002.07,618.48,NA,15.13,274.69,1047.9,108.62,91.57,501.54,360.36,113.95,401.7,564,294.91,184.41,NA,119.34,NA,21.17,NA,0.52,NA,68.15
2011,"河南",4248.82,559.02,NA,5.67,204.8,857.14,56.59,57.54,547.96,361.48,95.6,191.3,480.48,281.21,126.55,NA,67.6,NA,16.83,NA,3.42,NA,63.54
2011,"湖北",3214.74,394.95,NA,2.51,188.4,488.16,44.19,47.09,449.29,247.3,101.11,161.33,376.23,255.18,112.46,NA,52.52,NA,7.28,NA,1.21,NA,45.39
2011,"湖南",3520.76,466.74,0.01,9.56,174.42,540.83,41.96,44.87,484.44,256.76,85.26,276,394.26,301.31,119.88,NA,53.46,NA,3.87,NA,NA,NA,49.88
2011,"广东",6712.4,807.41,0.04,13.04,569.85,1227.87,203.92,170.56,548.65,433.75,232.62,518.16,420.34,533.4,147.12,91.88,14.61,18.61,53.77,146.42,25.72,152.31,382.36
2011,"广西",2545.28,322.18,NA,8.21,139.44,456.89,28.25,37.48,250.64,232.88,53.9,118.73,314.86,248.98,88.81,NA,23.69,NA,8.04,NA,NA,NA,39.49
2011,"海南",778.8,82.02,0.96,4.46,53.23,127.27,9.83,16.6,94.04,50.3,23.97,39.57,105.63,53.19,21.44,NA,10.66,NA,0.25,NA,NA,NA,11.29
2011,"重庆",2570.24,224.58,NA,8.88,124.93,318.7,25.04,31.16,338.76,143.7,100.81,394.46,198.91,186.23,187.81,NA,40.22,NA,12.63,NA,0.01,NA,44.02
2011,"四川",4674.92,485.11,NA,10.72,246.07,684.66,45.75,87.35,645.79,372.96,115.8,268.56,545.7,364.89,157.77,NA,63.25,NA,11.19,NA,132.49,NA,57.28
2011,"贵州",2249.4,307.21,NA,4.15,117.31,376.86,21.68,35.31,194.78,173.26,55.45,65.52,278.47,305.16,55.18,NA,19.81,NA,0.44,NA,NA,NA,32.72
2011,"云南",2929.6,282.05,0.23,6.32,165.32,483,28.3,45.34,386.5,236.98,95.86,122.96,409.8,276.19,50.4,33.72,7.51,0.01,41.6,151.71,8.2,53.37,44.23
2011,"西藏",758.11,95.94,1.1,1.14,51.76,77.81,3.38,18.91,57.68,35.3,16.05,21.66,126.53,77.88,49.6,NA,5.52,NA,0.37,NA,0.08,NA,6.21
