"X1","X2","X3","X4","X5","href"
1,32,20181231,"中国2018年分地区一般公共预算支出统计(三)(4954字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=809890&cs=15226849&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
2,31,20181231,"中国2018年分地区一般公共预算支出统计(二)(5159字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=809889&cs=11558470&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
3,30,20181231,"中国2018年分地区一般公共预算支出统计(一)(4552字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=809888&cs=15776687&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
4,29,20171231,"中国2017年分地区一般公共预算支出统计(14794字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=787481&cs=4282401&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
5,28,20161231,"中国2016年分地区一般公共预算支出统计(14804字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=753261&cs=6793395&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
6,27,20151231,"中国2015年分地区一般公共预算支出统计(三)(4956字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=715369&cs=616975&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
7,26,20151231,"中国2015年分地区一般公共预算支出统计(二)(5158字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=715368&cs=14612992&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
8,25,20151231,"中国2015年分地区一般公共预算支出统计(一)(4516字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=715367&cs=12293705&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
9,24,20141231,"中国2014年分地区一般公共预算支出统计(三)(4409字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=694809&cs=4094071&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
10,23,20141231,"中国2014年分地区一般公共预算支出统计(二)(5156字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=694808&cs=3047536&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
11,22,20141231,"中国2014年分地区一般公共预算支出统计(一)(4512字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=694807&cs=9940083&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
12,21,20131231,"中国2013年分地区公共财政支出统计(三)(5543字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=626420&cs=13513986&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
13,20,20131231,"中国2013年分地区公共财政支出统计(二)(4760字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=626419&cs=11140114&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
14,19,20131231,"中国2013年分地区公共财政支出统计(一)(3795字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=626418&cs=16183068&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
15,18,20121231,"中国2012年分地区财政支出统计(13828字)","精讯数据","/IrisBin/Text.dll?db=TJ&no=585153&cs=11891830&str=分地区一般公共预算支出+分地区公共财政支出+分地区财政支出+各地区财政支出+中国统计年鉴"
